utt_id,label,speaker,attack,attack_tag,codec,condition,AASIST_score,error_type,confidence,AASIST-L_score,AASIST3_score,LFCC+LCNN_score,XLS-R+Nes2Net_score,XLS-R+AASIST_score,failed_model_count,model
E_0009516188,0,E_4954,A24,AC3,nocodec,spoof,0.9999939203262329,false_positive,0.9999939203262329,,,,,,,
E_0000941432,0,E_2427,A26,AC1,nocodec,spoof,0.9999938011169434,false_positive,0.9999938011169434,,,,,,,
E_0008949556,1,E_3172,bonafide,bonafide,C10,bonafide,1.9812471663271936e-09,false_negative,0.9999999980187528,,,,,,,
E_0005576298,1,E_0197,bonafide,bonafide,C09,bonafide,6.451289280562378e-09,false_negative,0.9999999935487107,,,,,,,
E_0008542417,1,E_4342,bonafide,bonafide,C10,bonafide,8.361671355316957e-09,false_negative,0.9999999916383286,,,,,,,
E_0004344092,1,E_3860,bonafide,bonafide,C10,bonafide,8.912249604975386e-09,false_negative,0.9999999910877504,,,,,,,
E_0007334666,1,E_3860,bonafide,bonafide,C09,bonafide,9.437122194810854e-09,false_negative,0.9999999905628778,,,,,,,
E_0001505277,1,E_0986,bonafide,bonafide,C10,bonafide,9.635741982094714e-09,false_negative,0.999999990364258,,,,,,,
E_0008739740,1,E_2241,bonafide,bonafide,C10,bonafide,9.814009160891146e-09,false_negative,0.9999999901859908,,,,,,,
E_0009449472,1,E_4556,bonafide,bonafide,C10,bonafide,1.1343093575533203e-08,false_negative,0.9999999886569064,,,,,,,
E_0001655078,1,E_0219,bonafide,bonafide,C09,bonafide,1.2444367314401461e-08,false_negative,0.9999999875556327,,,,,,,
E_0005226230,1,E_0197,bonafide,bonafide,C10,bonafide,1.3236075346867437e-08,false_negative,0.9999999867639247,,,,,,,
E_0003089302,1,E_3262,bonafide,bonafide,nocodec,bonafide,1.4670740178246433e-08,false_negative,0.9999999853292598,,,,,,,
E_0002678123,1,E_3172,bonafide,bonafide,nocodec,bonafide,1.5072885162226157e-08,false_negative,0.9999999849271148,,,,,,,
E_0005770530,1,E_3330,bonafide,bonafide,C08,bonafide,1.5574267209217396e-08,false_negative,0.9999999844257328,,,,,,,
E_0006223082,1,E_2779,bonafide,bonafide,C09,bonafide,1.607640243150854e-08,false_negative,0.9999999839235976,,,,,,,
E_0004222819,1,E_3172,bonafide,bonafide,C06,bonafide,1.6614459141806037e-08,false_negative,0.9999999833855409,,,,,,,
E_0009659475,1,E_0219,bonafide,bonafide,C09,bonafide,1.8248980993007535e-08,false_negative,0.999999981751019,,,,,,,
E_0007434155,1,E_3327,bonafide,bonafide,C09,bonafide,2.534664034214984e-08,false_negative,0.9999999746533597,,,,,,,
E_0009280391,1,E_0728,bonafide,bonafide,C09,bonafide,2.5761902833210115e-08,false_negative,0.9999999742380972,,,,,,,
E_0001871507,1,E_0219,bonafide,bonafide,C10,bonafide,2.687790967570436e-08,false_negative,0.9999999731220903,,,,,,,
E_0008571310,1,E_3172,bonafide,bonafide,C11,bonafide,2.8121320383434067e-08,false_negative,0.9999999718786796,,,,,,,
E_0001512717,1,E_1313,bonafide,bonafide,C02,bonafide,2.8305521482252516e-08,false_negative,0.9999999716944785,,,,,,,
E_0006037616,1,E_0180,bonafide,bonafide,C09,bonafide,3.137506965344983e-08,false_negative,0.9999999686249303,,,,,,,
E_0002853687,1,E_3172,bonafide,bonafide,C08,bonafide,3.1514694853740366e-08,false_negative,0.9999999684853051,,,,,,,
E_0000159085,1,E_5344,bonafide,bonafide,C09,bonafide,3.171235007926043e-08,false_negative,0.9999999682876499,,,,,,,
E_0002525107,1,E_3498,bonafide,bonafide,C09,bonafide,3.255355096598578e-08,false_negative,0.999999967446449,,,,,,,
E_0009479657,0,E_0801,A26,AC3,C01,spoof,,false_positive,0.9999994039535522,0.9999994039535522,,,,,,
E_0006954548,0,E_0801,A26,AC3,nocodec,spoof,,false_positive,0.9999991655349731,0.9999991655349731,,,,,,
E_0006455641,0,E_2281,A26,AC1,C01,spoof,,false_positive,0.9999986886978149,0.9999986886978149,,,,,,
E_0003166014,0,E_4658,A17,AC1,nocodec,spoof,,false_positive,0.9999985694885254,0.9999985694885254,,,,,,
E_0005116132,0,E_1845,A28,AC1,C05,spoof,,false_positive,0.9999985694885254,0.9999985694885254,,,,,,
E_0003919734,0,E_2281,A26,AC1,C05,spoof,,false_positive,0.9999984502792358,0.9999984502792358,,,,,,
E_0000966209,0,E_2281,A26,AC1,nocodec,spoof,,false_positive,0.9999983310699463,0.9999983310699463,,,,,,
E_0002817985,0,E_3441,A17,AC2,nocodec,spoof,,false_positive,0.9999983310699463,0.9999983310699463,,,,,,
E_0004739877,0,E_2335,A26,AC1,C05,spoof,,false_positive,0.9999983310699463,0.9999983310699463,,,,,,
E_0009772420,0,E_1845,A28,AC1,nocodec,spoof,,false_positive,0.9999983310699463,0.9999983310699463,,,,,,
E_0004951448,0,E_0595,A17,AC1,nocodec,spoof,,false_positive,0.9999982118606567,0.9999982118606567,,,,,,
E_0006594616,0,E_4471,A28,AC1,C06,spoof,,false_positive,0.9999979734420776,0.9999979734420776,,,,,,
E_0007280081,0,E_1170,A17,AC3,nocodec,spoof,,false_positive,0.9999978542327881,0.9999978542327881,,,,,,
E_0008984826,0,E_4471,A28,AC1,C05,spoof,,false_positive,0.9999977350234985,0.9999977350234985,,,,,,
E_0005692206,0,E_4471,A28,AC1,nocodec,spoof,,false_positive,0.9999974966049194,0.9999974966049194,,,,,,
E_0008201916,0,E_1021,A28,AC2,nocodec,spoof,,false_positive,0.9999974966049194,0.9999974966049194,,,,,,
E_0008442378,0,E_2824,A26,AC1,nocodec,spoof,,false_positive,0.9999974966049194,0.9999974966049194,,,,,,
E_0008134199,0,E_4238,A28,AC1,nocodec,spoof,,false_positive,0.9999971389770508,0.9999971389770508,,,,,,
E_0002458476,0,E_2281,A26,AC1,C04,spoof,,false_positive,0.9999970197677612,0.9999970197677612,,,,,,
E_0006896977,0,E_4238,A28,AC1,C05,spoof,,false_positive,0.9999969005584717,0.9999969005584717,,,,,,
E_0007135852,0,E_4168,A17,AC1,nocodec,spoof,,false_positive,0.9999967813491821,0.9999967813491821,,,,,,
E_0005430382,0,E_2281,A26,AC1,C07,spoof,,false_positive,0.9999966621398926,0.9999966621398926,,,,,,
E_0002445028,0,E_4867,A28,AC1,nocodec,spoof,,false_positive,0.9999960660934448,0.9999960660934448,,,,,,
E_0008168949,0,E_2335,A26,AC1,nocodec,spoof,,false_positive,0.9999960660934448,0.9999960660934448,,,,,,
E_0009649712,0,E_2664,A17,AC3,C06,spoof,,false_positive,0.9999959468841553,0.9999959468841553,,,,,,
E_0006580551,1,E_3548,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999968385,3.1614207779417924e-12,,,,,,
E_0003449362,1,E_3172,bonafide,bonafide,C09,bonafide,,false_negative,0.9999999999950582,4.941878069958383e-12,,,,,,
E_0000553116,1,E_1742,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999944674,5.532562255550211e-12,,,,,,
E_0004723403,1,E_4162,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999942994,5.700590173518538e-12,,,,,,
E_0002973531,1,E_2333,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999940076,5.992461301479457e-12,,,,,,
E_0008753076,1,E_4695,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999933468,6.653208799861643e-12,,,,,,
E_0009449472,1,E_4556,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999932313,6.7687270718930215e-12,,,,,,
E_0009106067,1,E_2510,bonafide,bonafide,C03,bonafide,,false_negative,0.9999999999924672,7.532777353269626e-12,,,,,,
E_0008723037,1,E_2918,bonafide,bonafide,C03,bonafide,,false_negative,0.9999999999923834,7.61655842562714e-12,,,,,,
E_0001544546,1,E_4556,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999913401,8.659844542846518e-12,,,,,,
E_0002063977,1,E_3564,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999907928,9.207181024539768e-12,,,,,,
E_0002845850,1,E_1854,bonafide,bonafide,C03,bonafide,,false_negative,0.999999999988707,1.1292972633414333e-11,,,,,,
E_0000948385,1,E_4556,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999884495,1.1550484527167448e-11,,,,,,
E_0007269208,1,E_1389,bonafide,bonafide,C09,bonafide,,false_negative,0.9999999999875112,1.2488766097662474e-11,,,,,,
E_0005051054,1,E_3262,bonafide,bonafide,C09,bonafide,,false_negative,0.9999999999869136,1.3086441652543357e-11,,,,,,
E_0009156409,1,E_4556,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999840297,1.597035871603314e-11,,,,,,
E_0002534634,1,E_0879,bonafide,bonafide,C08,bonafide,,false_negative,0.9999999999837825,1.6217522116890315e-11,,,,,,
E_0005119417,1,E_0214,bonafide,bonafide,C03,bonafide,,false_negative,0.9999999999831157,1.688425094181767e-11,,,,,,
E_0005221996,1,E_1854,bonafide,bonafide,C03,bonafide,,false_negative,0.9999999999827237,1.7276244670960672e-11,,,,,,
E_0006941873,1,E_2918,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999816699,1.833016377572605e-11,,,,,,
E_0003089302,1,E_3262,bonafide,bonafide,nocodec,bonafide,,false_negative,0.9999999999805637,1.9436360507163464e-11,,,,,,
E_0009644878,1,E_1854,bonafide,bonafide,C09,bonafide,,false_negative,0.9999999999805264,1.947369002164301e-11,,,,,,
E_0001719109,1,E_3553,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999805134,1.9486618915709464e-11,,,,,,
E_0000494807,1,E_4713,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999781785,2.1821565387991626e-11,,,,,,
E_0007251076,1,E_2632,bonafide,bonafide,C10,bonafide,,false_negative,0.9999999999772649,2.273511066908096e-11,,,,,,
E_0007454933,0,E_0915,A19,AC2,C06,spoof,,false_positive,0.9744848012924194,,0.9744848012924194,,,,,
E_0000357155,0,E_5342,A19,AC1,nocodec,spoof,,false_positive,0.9744492769241333,,0.9744492769241333,,,,,
E_0007972620,0,E_1934,A19,AC1,nocodec,spoof,,false_positive,0.974420428276062,,0.974420428276062,,,,,
E_0001641594,0,E_2602,A18,AC2,nocodec,spoof,,false_positive,0.9743680357933044,,0.9743680357933044,,,,,
E_0005527109,0,E_5342,A19,AC1,nocodec,spoof,,false_positive,0.9743111729621887,,0.9743111729621887,,,,,
E_0000939802,0,E_1684,A18,AC1,nocodec,spoof,,false_positive,0.9743010401725769,,0.9743010401725769,,,,,
E_0000333158,0,E_4041,A18,AC2,C06,spoof,,false_positive,0.9742916226387024,,0.9742916226387024,,,,,
E_0007266424,0,E_0915,A19,AC2,C06,spoof,,false_positive,0.974277913570404,,0.974277913570404,,,,,
E_0008253746,0,E_4041,A18,AC2,nocodec,spoof,,false_positive,0.9742630124092102,,0.9742630124092102,,,,,
E_0008910143,0,E_4400,A18,AC1,nocodec,spoof,,false_positive,0.9742457866668701,,0.9742457866668701,,,,,
E_0005151483,0,E_4561,A18,AC2,nocodec,spoof,,false_positive,0.9742321968078613,,0.9742321968078613,,,,,
E_0002334372,0,E_1162,A18,AC2,nocodec,spoof,,false_positive,0.9742276668548584,,0.9742276668548584,,,,,
E_0002563757,0,E_4400,A18,AC1,C06,spoof,,false_positive,0.9742074608802795,,0.9742074608802795,,,,,
E_0005739083,0,E_3441,A18,AC2,nocodec,spoof,,false_positive,0.9742015600204468,,0.9742015600204468,,,,,
E_0007064327,0,E_2354,A18,AC1,nocodec,spoof,,false_positive,0.9742015600204468,,0.9742015600204468,,,,,
E_0002340924,0,E_2458,A18,AC1,nocodec,spoof,,false_positive,0.9741995334625244,,0.9741995334625244,,,,,
E_0005070314,0,E_2803,A18,AC2,C06,spoof,,false_positive,0.9741965532302856,,0.9741965532302856,,,,,
E_0000661006,0,E_5342,A18,AC2,nocodec,spoof,,false_positive,0.9741941094398499,,0.9741941094398499,,,,,
E_0001060523,0,E_0153,A18,AC2,nocodec,spoof,,false_positive,0.974189817905426,,0.974189817905426,,,,,
E_0006848117,0,E_1684,A18,AC1,nocodec,spoof,,false_positive,0.9741823077201843,,0.9741823077201843,,,,,
E_0002715233,0,E_1762,A18,AC1,nocodec,spoof,,false_positive,0.9741770029067993,,0.9741770029067993,,,,,
E_0004082321,0,E_2458,A18,AC1,C06,spoof,,false_positive,0.9741708040237427,,0.9741708040237427,,,,,
E_0001513960,0,E_2986,A18,AC3,nocodec,spoof,,false_positive,0.9741699695587158,,0.9741699695587158,,,,,
E_0007384298,0,E_5342,A18,AC2,nocodec,spoof,,false_positive,0.9741591215133667,,0.9741591215133667,,,,,
E_0000526893,0,E_2682,A18,AC3,nocodec,spoof,,false_positive,0.974147379398346,,0.974147379398346,,,,,
E_0001581795,1,E_3000,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999932352,,6.7648421586685714e-12,,,,,
E_0005536579,1,E_2555,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999925571,,7.442888319553198e-12,,,,,
E_0005305813,1,E_3680,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999922916,,7.708398155892304e-12,,,,,
E_0002737519,1,E_0338,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999920655,,7.934573137413636e-12,,,,,
E_0002772323,1,E_3680,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999919889,,8.011155107345846e-12,,,,,
E_0000408731,1,E_0089,bonafide,bonafide,C02,bonafide,,false_negative,0.9999999999917467,,8.25332597403916e-12,,,,,
E_0000211223,1,E_2555,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999915409,,8.459125760973407e-12,,,,,
E_0003154802,1,E_2555,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999911254,,8.874527848701241e-12,,,,,
E_0008998816,1,E_0203,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999909619,,9.038056761334623e-12,,,,,
E_0002542689,1,E_3979,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999908462,,9.15377409288487e-12,,,,,
E_0003728821,1,E_4732,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999907644,,9.235602733970172e-12,,,,,
E_0007225944,1,E_2555,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999907634,,9.236589791628003e-12,,,,,
E_0001767706,1,E_0089,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999905712,,9.428830979874014e-12,,,,,
E_0000981971,1,E_0266,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999904994,,9.500625113012529e-12,,,,,
E_0003525198,1,E_3979,bonafide,bonafide,C02,bonafide,,false_negative,0.9999999999904662,,9.533772209191493e-12,,,,,
E_0002013733,1,E_4739,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999903593,,9.640763881657577e-12,,,,,
E_0009295180,1,E_3979,bonafide,bonafide,C04,bonafide,,false_negative,0.9999999999902461,,9.753810606416558e-12,,,,,
E_0006105711,1,E_1111,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999901821,,9.817906904130425e-12,,,,,
E_0008198184,1,E_0338,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999901393,,9.860657429472397e-12,,,,,
E_0001031271,1,E_2555,bonafide,bonafide,C02,bonafide,,false_negative,0.9999999999901252,,9.874716495883451e-12,,,,,
E_0009027962,1,E_2453,bonafide,bonafide,C02,bonafide,,false_negative,0.9999999999900859,,9.914027064572561e-12,,,,,
E_0009927488,1,E_4720,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999900319,,9.96812354880916e-12,,,,,
E_0004325602,1,E_1491,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999899628,,1.003720717651646e-11,,,,,
E_0009468808,1,E_4732,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999898775,,1.0122452355487699e-11,,,,,
E_0005553277,1,E_2749,bonafide,bonafide,C07,bonafide,,false_negative,0.9999999999897405,,1.0259447805194277e-11,,,,,
E_0000000465,0,E_2335,A17,AC1,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000001420,0,E_4094,A19,AC3,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000002137,0,E_3575,A18,AC1,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000002629,0,E_5342,A19,AC1,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000003799,0,E_3687,A18,AC1,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000003818,0,E_4867,A18,AC1,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000004769,0,E_0178,A30,AC1,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000004944,0,E_3760,A30,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000006519,0,E_0173,A23,AC2,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000007980,0,E_2959,A30,AC2,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000008391,0,E_0110,A20,AC1,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000009260,0,E_3261,A30,AC2,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000009766,0,E_0377,A19,AC3,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000010572,0,E_1746,A18,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000012866,0,E_4819,A30,AC1,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000012944,0,E_1010,A18,AC1,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000014358,0,E_2682,A25,AC1,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000014419,0,E_4414,A30,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000014893,0,E_1991,A17,AC3,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000016068,0,E_0178,A30,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000016451,0,E_4512,A18,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000018920,0,E_0067,A27,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000019302,0,E_1762,A30,AC1,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000019400,0,E_0583,A18,AC2,nocodec,spoof,,false_positive,1.0,,,1.0,,,,
E_0000020032,0,E_1565,A18,AC2,C06,spoof,,false_positive,1.0,,,1.0,,,,
E_0000104394,1,E_4337,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0000315346,1,E_0893,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0000453871,1,E_3152,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0000550945,1,E_3992,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0000605162,1,E_2963,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0000936952,1,E_3687,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001173628,1,E_3992,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001216220,1,E_2803,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001235186,1,E_0915,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001586421,1,E_4337,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001609623,1,E_0623,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001611785,1,E_3152,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001639732,1,E_2963,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001692379,1,E_4062,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0001766055,1,E_4062,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002202666,1,E_0893,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002421619,1,E_3152,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002460866,1,E_4119,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002472116,1,E_1549,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002598501,1,E_3717,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002753924,1,E_4413,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0002965709,1,E_0623,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0003122227,1,E_4062,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0003410650,1,E_2963,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0003549808,1,E_2963,bonafide,bonafide,C05,bonafide,,false_negative,1.0,,,0.0,,,,
E_0004782150,0,E_4867,A28,AC1,nocodec,spoof,,false_positive,0.9999856948852539,,,,0.9999856948852539,,,
E_0004166910,0,E_2986,A28,AC2,nocodec,spoof,,false_positive,0.9999699592590332,,,,0.9999699592590332,,,
E_0009392843,0,E_2066,A28,AC2,nocodec,spoof,,false_positive,0.9999638795852661,,,,0.9999638795852661,,,
E_0006375591,0,E_4512,A28,AC1,C06,spoof,,false_positive,0.9999516010284424,,,,0.9999516010284424,,,
E_0008828284,0,E_4512,A28,AC1,nocodec,spoof,,false_positive,0.9999452829360962,,,,0.9999452829360962,,,
E_0003763863,0,E_2453,A28,AC2,nocodec,spoof,,false_positive,0.9999418258666992,,,,0.9999418258666992,,,
E_0006934822,0,E_2986,A28,AC2,C03,spoof,,false_positive,0.9999396800994873,,,,0.9999396800994873,,,
E_0007745736,0,E_1170,A28,AC1,nocodec,spoof,,false_positive,0.9999130964279175,,,,0.9999130964279175,,,
E_0007457981,0,E_3843,A28,AC1,nocodec,spoof,,false_positive,0.9998939037322998,,,,0.9998939037322998,,,
E_0005354351,0,E_1162,A28,AC1,nocodec,spoof,,false_positive,0.9998524188995361,,,,0.9998524188995361,,,
E_0003315809,0,E_4414,A28,AC1,nocodec,spoof,,false_positive,0.9998494386672974,,,,0.9998494386672974,,,
E_0003702814,0,E_2997,A28,AC3,nocodec,spoof,,false_positive,0.9998409748077393,,,,0.9998409748077393,,,
E_0006283718,0,E_4867,A28,AC1,nocodec,spoof,,false_positive,0.9998347759246826,,,,0.9998347759246826,,,
E_0004273834,0,E_0060,A28,AC1,C05,spoof,,false_positive,0.9998294115066528,,,,0.9998294115066528,,,
E_0009130150,0,E_4326,A28,AC1,nocodec,spoof,,false_positive,0.9998194575309753,,,,0.9998194575309753,,,
E_0008968116,0,E_1060,A28,AC1,nocodec,spoof,,false_positive,0.9998013377189636,,,,0.9998013377189636,,,
E_0004854676,0,E_4512,A28,AC1,C05,spoof,,false_positive,0.9997667670249939,,,,0.9997667670249939,,,
E_0004212852,0,E_0698,A28,AC2,nocodec,spoof,,false_positive,0.999758780002594,,,,0.999758780002594,,,
E_0003440848,0,E_4867,A28,AC1,C01,spoof,,false_positive,0.9997535347938538,,,,0.9997535347938538,,,
E_0009719755,0,E_2427,A28,AC1,C11,spoof,,false_positive,0.9996966123580933,,,,0.9996966123580933,,,
E_0004052457,0,E_0392,A28,AC3,nocodec,spoof,,false_positive,0.9996901750564575,,,,0.9996901750564575,,,
E_0000332762,0,E_3843,A28,AC1,C06,spoof,,false_positive,0.9996600151062012,,,,0.9996600151062012,,,
E_0008912187,0,E_2427,A28,AC1,nocodec,spoof,,false_positive,0.9996501207351685,,,,0.9996501207351685,,,
E_0005862256,0,E_1162,A28,AC2,C05,spoof,,false_positive,0.9996078610420227,,,,0.9996078610420227,,,
E_0000170609,0,E_4867,A28,AC1,nocodec,spoof,,false_positive,0.9996066689491272,,,,0.9996066689491272,,,
E_0002225152,1,E_3615,bonafide,bonafide,C03,bonafide,,false_negative,0.9999998987679461,,,,1.0123205385070833e-07,,,
E_0002108564,1,E_3267,bonafide,bonafide,C04,bonafide,,false_negative,0.9999996983911217,,,,3.0160887831698346e-07,,,
E_0003745912,1,E_3267,bonafide,bonafide,C06,bonafide,,false_negative,0.9999982616149055,,,,1.7383850945407175e-06,,,
E_0003695915,1,E_5158,bonafide,bonafide,nocodec,bonafide,,false_negative,0.9999974774839302,,,,2.522516069802805e-06,,,
E_0005336650,1,E_3267,bonafide,bonafide,C01,bonafide,,false_negative,0.9999964523617564,,,,3.547638243617257e-06,,,
E_0002763279,1,E_3739,bonafide,bonafide,C03,bonafide,,false_negative,0.9999963329139518,,,,3.6670860481535783e-06,,,
E_0000430717,1,E_4792,bonafide,bonafide,C04,bonafide,,false_negative,0.999996183174062,,,,3.8168259379744995e-06,,,
